gamma,sigma,strategy,mean_pnl,std_pnl,sharpe,mean_final_q,std_final_q,mean_trades,max_drawdown,percentile_5,percentile_95
0.05,1.0,inventory,59.20658735166978,2.938804951354776,20.14648414294246,1.8,6.0882400303098,90.2,0.08487140490674136,55.64031093513264,63.371728329015056
0.05,1.0,symmetric,59.07030582171568,3.8463445201541404,15.357518160996266,1.3,8.844960900610772,90.3,0.0943240466596251,53.94784706874817,65.00186889226379
0.05,1.5,inventory,59.26592059993391,3.8107785201614446,15.552181866875614,1.1,5.1305187088853135,90.3,0.10730806831778097,55.05263172220329,64.90892026980234
0.05,1.5,symmetric,57.384161020821196,6.007450405101265,9.55216558626819,0.8,9.319036669336828,88.2,0.16630725136753408,48.388737835307346,65.54281056310352
0.05,2.0,inventory,58.40903508569177,3.6351603040872886,16.067801747289664,0.7,4.1379007023153935,88.5,0.11178882483339694,54.250146498118134,64.01589968307206
0.05,2.0,symmetric,57.571378651750045,7.081095666657535,8.13029245217432,0.4,9.203863922891902,86.8,0.2176934992082391,45.800412903133214,65.71242782158976
0.05,3.0,inventory,56.76181191194163,4.414783888373347,12.857211892393638,0.4,3.777124126457412,85.6,0.15798865794903902,50.13692627663028,62.487417378846814
0.05,3.0,symmetric,55.83354990403675,8.332500607443876,6.700695569605792,1.0,8.981462390204987,79.4,0.32336283680460615,44.125057239051266,65.68725478769854
0.1,1.0,inventory,59.37733192043555,3.3604067018465322,17.66968619834257,1.2,5.2451035367389185,91.4,0.0731713920491704,55.401906869821985,64.76533099790838
0.1,1.0,symmetric,58.47026933074318,4.198498249707328,13.926472241549478,1.4,9.057838839615355,89.4,0.10171264466790979,52.94952962931682,64.93954780298411
0.1,1.5,inventory,58.34234942640562,3.2895535026685363,17.735643873576585,0.5,3.8944404818493075,89.5,0.08219948785296873,54.35107158293718,63.365741146392956
0.1,1.5,symmetric,58.05446477069014,5.525732057365072,10.506203371426812,0.4,9.203863922891902,86.8,0.16105345874421412,49.115390936615356,64.59652255219561
0.1,2.0,inventory,57.89744456832805,3.4670972713052572,16.699111688473458,0.5,3.689323936863109,87.9,0.08416829700989946,54.048921467816584,63.2951044473733
0.1,2.0,symmetric,57.123827143955864,6.761258853702903,8.448696963091594,0.4,8.643558937793571,82.4,0.17807161970454966,46.08690256134254,63.9363056324977
0.1,3.0,inventory,51.89463719157097,3.5608765398109847,14.573556991202395,0.3,3.3349995835415367,77.9,0.09220388297841675,46.63987131947388,56.827005320749514
0.1,3.0,symmetric,56.54878368818563,13.873861450164753,4.075922474165554,0.8,8.954204474869767,72.0,0.33657661829434005,34.43438808314714,67.9761784909559
0.2,1.0,inventory,58.73774450571268,2.773568493444169,21.177679456826095,0.6,4.221637386396684,92.4,0.042678820194217953,54.73886200772332,62.567111876615705
0.2,1.0,symmetric,58.16580576598919,4.606239194660984,12.627612963175734,0.9,9.12201244852862,88.9,0.10719342829280616,51.410852602388765,64.30692536198113
0.2,1.5,inventory,57.13867829454117,4.418987748895686,12.930264020039486,0.6,3.3399933466334266,88.4,0.06801715788574911,51.83615653058826,63.56406031728187
0.2,1.5,symmetric,58.02235921913011,5.78971171005087,10.021631840218225,0.1,8.875058685251984,83.1,0.12027569156927256,49.199141130653054,64.39304511949989
0.2,2.0,inventory,53.36009372642532,4.739129849730949,11.259470708415954,0.3,3.1287200080686173,81.9,0.06708584919559143,47.20379747296287,60.712721250242666
0.2,2.0,symmetric,57.70944723471405,7.046643368139996,8.189636429684507,0.3,9.153627089241121,75.3,0.19664380721650893,46.43600228337639,64.20502941920351
0.2,3.0,inventory,45.21053940195675,5.066837463055529,8.922831989698912,0.0,3.018461712712472,69.0,0.17222419085411866,38.536554017001734,52.30784690475323
0.2,3.0,symmetric,55.77712140070257,6.811341275476703,8.188860188450755,2.5,7.677528537520681,57.7,0.356576295339333,45.1196912955608,63.70056516203052
0.5,1.0,inventory,55.13150457520302,3.5436928830608663,15.557641814485672,0.0,3.1622776601683795,92.2,0.05228102901155499,51.25463856440779,60.70453265775751
0.5,1.0,symmetric,57.98249866821211,4.997538244507665,11.602212095512295,-0.1,8.875058685251984,86.7,0.0862681308387532,50.61038015120286,64.07159755416396
0.5,1.5,inventory,50.280036775257315,4.261076404035205,11.799843984877278,0.2,2.973961069759395,82.4,0.051087921762176955,44.94364749957265,56.41113166075416
0.5,1.5,symmetric,57.71670986409282,7.026301510934277,8.214379894497057,0.2,9.354737361952559,73.2,0.17535623844562942,46.535507252401494,64.46733112087777
0.5,2.0,inventory,42.914334567504454,4.01192472310713,10.696694860782042,-0.1,2.998147576235848,70.9,0.2539622681401186,37.697788282428604,47.40418486981427
0.5,2.0,symmetric,54.69110322385054,5.379219877328249,10.16710684282616,2.5,8.058811602491055,58.1,0.2502912990943039,45.35067118035709,59.619700429109116
0.5,3.0,inventory,28.411500059842695,3.9788226581544057,7.140680171209614,-0.4,2.1705094128132942,45.6,0.5357970939128548,23.921059867818943,34.213376219005426
0.5,3.0,symmetric,36.66348533488666,6.0369129293018915,6.073217514357363,2.4,7.105553383719588,34.0,0.48159270802083587,30.002169068730694,46.19019768193858
